iter	RMSE
0	2.190998454e-06
1	2.172198659e-06
2	2.153438278e-06
3	2.153438278e-06
4	2.153438278e-06
5	2.137162298e-06
6	2.120675923e-06
7	2.103711495e-06
8	2.085809083e-06
9	2.085809083e-06
10	2.085809083e-06
11	2.085809083e-06
12	2.085809083e-06
13	2.069288987e-06
14	2.052874965e-06
15	2.052874965e-06
16	2.033494199e-06
17	2.017412914e-06
18	2.001627846e-06
19	2.001627846e-06
20	2.001627846e-06
21	1.9851589e-06
22	1.9851589e-06
23	1.969711582e-06
24	1.969711582e-06
25	1.969711582e-06
26	1.954866192e-06
27	1.940704644e-06
28	1.923621488e-06
29	1.907473487e-06
30	1.907473487e-06
31	1.907473487e-06
32	1.892972334e-06
33	1.892972334e-06
34	1.878850406e-06
35	1.86449488e-06
36	1.86449488e-06
37	1.86449488e-06
38	1.849070022e-06
39	1.834937895e-06
40	1.821445634e-06
41	1.806420612e-06
42	1.806420612e-06
43	1.789971284e-06
44	1.774235307e-06
45	1.774235307e-06
46	1.760098219e-06
47	1.760098219e-06
48	1.745799042e-06
49	1.745799042e-06
50	1.731527203e-06
51	1.718780147e-06
52	1.706001136e-06
53	1.693382846e-06
54	1.693382846e-06
55	1.693382846e-06
56	1.678808767e-06
57	1.666489659e-06
58	1.666489659e-06
59	1.666489659e-06
60	1.666489659e-06
61	1.65432642e-06
62	1.643106646e-06
63	1.629922738e-06
64	1.629922738e-06
65	1.614425814e-06
66	1.614425814e-06
67	1.602771669e-06
68	1.591600744e-06
69	1.591600744e-06
70	1.579401198e-06
71	1.565339993e-06
72	1.553306768e-06
73	1.553306768e-06
74	1.553306768e-06
75	1.542420055e-06
76	1.531535445e-06
77	1.520869552e-06
78	1.520869552e-06
79	1.520869552e-06
80	1.510696981e-06
81	1.500427686e-06
82	1.487289645e-06
83	1.487289645e-06
84	1.477129951e-06
85	1.477129951e-06
86	1.465730465e-06
87	1.454242209e-06
88	1.454242209e-06
89	1.454242209e-06
90	1.454242209e-06
91	1.444459487e-06
92	1.444459487e-06
93	1.444459487e-06
94	1.444459487e-06
95	1.434664518e-06
96	1.434664518e-06
97	1.434664518e-06
98	1.424942456e-06
99	1.424942456e-06
100	1.414074041e-06
101	1.404653922e-06
102	1.393878977e-06
103	1.383454643e-06
104	1.383454643e-06
105	1.374381402e-06
106	1.374381402e-06
107	1.374381402e-06
108	1.374381402e-06
109	1.374381402e-06
110	1.374381402e-06
111	1.374381402e-06
112	1.374381402e-06
113	1.374381402e-06
114	1.364569403e-06
115	1.355556912e-06
116	1.355556912e-06
117	1.343001707e-06
118	1.343001707e-06
119	1.343001707e-06
120	1.343001707e-06
121	1.343001707e-06
122	1.33419605e-06
123	1.321982872e-06
124	1.313381455e-06
125	1.313381455e-06
126	1.301933678e-06
127	1.293487229e-06
128	1.293487229e-06
129	1.285616208e-06
130	1.27362787e-06
131	1.27362787e-06
132	1.265603619e-06
133	1.265603619e-06
134	1.254771722e-06
135	1.254771722e-06
136	1.2468739e-06
