iter	RMSE
137	1.2468739e-06
138	1.2468739e-06
139	1.239142986e-06
140	1.239142986e-06
141	1.239142986e-06
142	1.230461513e-06
143	1.222779206e-06
144	1.211766509e-06
145	1.211766509e-06
146	1.202353714e-06
147	1.192138091e-06
148	1.181903187e-06
149	1.181903187e-06
150	1.174731966e-06
151	1.163808903e-06
152	1.163808903e-06
153	1.163808903e-06
154	1.163808903e-06
155	1.163808903e-06
156	1.163808903e-06
157	1.163808903e-06
158	1.155953019e-06
159	1.155953019e-06
160	1.155953019e-06
161	1.147257127e-06
162	1.13726264e-06
163	1.130397313e-06
164	1.12142447e-06
165	1.112350507e-06
166	1.101994658e-06
167	1.093983893e-06
168	1.093983893e-06
169	1.085162361e-06
170	1.077463146e-06
171	1.077463146e-06
172	1.077463146e-06
173	1.077463146e-06
174	1.077463146e-06
175	1.069992689e-06
176	1.069992689e-06
177	1.062656788e-06
178	1.062656788e-06
179	1.062656788e-06
180	1.062656788e-06
181	1.062656788e-06
182	1.056397474e-06
183	1.056397474e-06
184	1.050346671e-06
185	1.050346671e-06
186	1.044229473e-06
187	1.038233637e-06
188	1.038233637e-06
189	1.038233637e-06
190	1.032346956e-06
191	1.024320146e-06
192	1.024320146e-06
193	1.017345852e-06
194	1.011595234e-06
195	1.003369847e-06
196	1.003369847e-06
197	1.003369847e-06
198	1.003369847e-06
199	1.003369847e-06
200	1.003369847e-06
201	9.978019943e-07
202	9.978019943e-07
203	9.978019943e-07
204	9.910641863e-07
205	9.910641863e-07
206	9.910641863e-07
207	9.910641863e-07
208	9.85611334e-07
209	9.85611334e-07
210	9.770910948e-07
211	9.770910948e-07
212	9.770910948e-07
213	9.716236221e-07
214	9.716236221e-07
215	9.716236221e-07
216	9.64160279e-07
217	9.577939652e-07
218	9.577939652e-07
219	9.526822959e-07
220	9.526822959e-07
221	9.526822959e-07
222	9.474922344e-07
223	9.474922344e-07
224	9.474922344e-07
225	9.41283765e-07
226	9.41283765e-07
227	9.41283765e-07
228	9.41283765e-07
229	9.41283765e-07
230	9.41283765e-07
231	9.41283765e-07
232	9.41283765e-07
233	9.349209201e-07
234	9.349209201e-07
235	9.349209201e-07
236	9.299126753e-07
237	9.249496708e-07
238	9.249496708e-07
239	9.249496708e-07
240	9.202297267e-07
241	9.202297267e-07
242	9.202297267e-07
243	9.154418497e-07
244	9.154418497e-07
245	9.154418497e-07
246	9.107248248e-07
247	9.060498653e-07
248	9.060498653e-07
249	9.060498653e-07
250	9.060498653e-07
251	9.060498653e-07
252	9.060498653e-07
253	9.060498653e-07
254	9.015517396e-07
255	9.015517396e-07
256	9.015517396e-07
257	8.957409033e-07
258	8.957409033e-07
259	8.889754018e-07
260	8.846254705e-07
261	8.784195254e-07
262	8.739175917e-07
263	8.694565264e-07
264	8.694565264e-07
265	8.652701877e-07
266	8.578552149e-07
267	8.50211104e-07
268	8.45966286e-07
269	8.45966286e-07
270	8.391263309e-07
271	8.391263309e-07
272	8.350522016e-07
273	8.286324585e-07
274	8.24569892e-07
275	8.24569892e-07
276	8.176518264e-07
277	8.116647286e-07
278	8.116647286e-07
279	8.062365261e-07
280	8.062365261e-07
281	8.024443034e-07
282	7.969800639e-07
283	7.969800639e-07
284	7.932350136e-07
285	7.932350136e-07
286	7.858701341e-07
287	7.806044967e-07
288	7.806044967e-07
289	7.769145667e-07
290	7.717384263e-07
291	7.717384263e-07
292	7.68293214e-07
293	7.647471681e-07
294	7.647471681e-07
295	7.587427654e-07
296	7.587427654e-07
297	7.52367492e-07
298	7.52367492e-07
299	7.489489997e-07
300	7.434766649e-07
301	7.401194419e-07
302	7.347371893e-07
303	7.314523007e-07
304	7.314523007e-07
305	7.314523007e-07
306	7.314523007e-07
307	7.250877316e-07
308	7.250877316e-07
309	7.250877316e-07
310	7.250877316e-07
311	7.19280369e-07
312	7.161025292e-07
313	7.130101659e-07
314	7.07129982e-07
315	7.014197258e-07
316	6.984182537e-07
317	6.954585606e-07
318	6.895823931e-07
319	6.895823931e-07
320	6.866851688e-07
321	6.83899547e-07
322	6.83899547e-07
323	6.83899547e-07
324	6.83899547e-07
325	6.83899547e-07
326	6.810785299e-07
327	6.810785299e-07
328	6.754918615e-07
329	6.754918615e-07
330	6.754918615e-07
331	6.70710353e-07
332	6.681299878e-07
333	6.681299878e-07
334	6.653918932e-07
335	6.615281912e-07
336	6.577235273e-07
337	6.538978695e-07
338	6.512767812e-07
339	6.512767812e-07
340	6.466374367e-07
341	6.466374367e-07
342	6.412874102e-07
343	6.387284611e-07
344	6.387284611e-07
345	6.387284611e-07
346	6.387284611e-07
347	6.387284611e-07
348	6.33951903e-07
349	6.33951903e-07
350	6.315704998e-07
351	6.291177334e-07
352	6.291177334e-07
353	6.291177334e-07
354	6.266967015e-07
355	6.266967015e-07
356	6.212808846e-07
357	6.212808846e-07
358	6.179190817e-07
359	6.125308506e-07
360	6.125308506e-07
361	6.125308506e-07
362	6.125308506e-07
363	6.125308506e-07
364	6.125308506e-07
365	6.125308506e-07
366	6.125308506e-07
367	6.125308506e-07
368	6.125308506e-07
369	6.091145256e-07
370	6.057474868e-07
371	6.00662477e-07
372	6.00662477e-07
373	6.00662477e-07
374	6.00662477e-07
375	5.983516771e-07
376	5.983516771e-07
377	5.931551477e-07
378	5.884775932e-07
379	5.831868483e-07
380	5.831868483e-07
381	5.810452143e-07
382	5.810452143e-07
383	5.789371042e-07
384	5.768586885e-07
385	5.768586885e-07
386	5.768586885e-07
387	5.768586885e-07
388	5.768586885e-07
389	5.768586885e-07
390	5.768586885e-07
391	5.768586885e-07
392	5.768586885e-07
393	5.768586885e-07
394	5.725842508e-07
395	5.725842508e-07
396	5.693903817e-07
397	5.693903817e-07
398	5.646454357e-07
399	5.646454357e-07
400	5.646454357e-07
401	5.646454357e-07
402	5.646454357e-07
403	5.646454357e-07
404	5.60013142e-07
405	5.60013142e-07
406	5.580487885e-07
407	5.540013349e-07
408	5.540013349e-07
409	5.520004161e-07
410	5.471321416e-07
411	5.440821238e-07
412	5.440821238e-07
413	5.440821238e-07
414	5.411856137e-07
415	5.37353936e-07
416	5.37353936e-07
417	5.334369508e-07
418	5.316128602e-07
419	5.316128602e-07
420	5.316128602e-07
421	5.316128602e-07
422	5.288127709e-07
423	5.288127709e-07
424	5.240271584e-07
425	5.240271584e-07
426	5.240271584e-07
427	5.221975856e-07
428	5.221975856e-07
429	5.203732403e-07
430	5.203732403e-07
431	5.203732403e-07
432	5.203732403e-07
433	5.203732403e-07
434	5.203732403e-07
435	5.203732403e-07
436	5.175593086e-07
437	5.175593086e-07
438	5.175593086e-07
439	5.132322511e-07
440	5.114658155e-07
441	5.097285909e-07
442	5.097285909e-07
443	5.058418985e-07
444	5.058418985e-07
445	5.058418985e-07
446	5.058418985e-07
447	5.058418985e-07
448	5.058418985e-07
449	5.058418985e-07
450	5.058418985e-07
451	5.058418985e-07
452	5.058418985e-07
453	5.058418985e-07
454	5.058418985e-07
455	5.058418985e-07
456	5.058418985e-07
457	5.058418985e-07
458	5.058418985e-07
459	5.015880938e-07
460	4.999026465e-07
461	4.999026465e-07
462	4.999026465e-07
463	4.999026465e-07
464	4.972310838e-07
465	4.972310838e-07
466	4.972310838e-07
467	4.939975559e-07
468	4.92368814e-07
469	4.897701649e-07
470	4.882081737e-07
471	4.840462487e-07
472	4.825042777e-07
473	4.809690745e-07
474	4.794777375e-07
475	4.794777375e-07
476	4.780408687e-07
477	4.765704221e-07
478	4.751781229e-07
479	4.751781229e-07
480	4.737758017e-07
481	4.737758017e-07
482	4.723973466e-07
483	4.723973466e-07
484	4.723973466e-07
485	4.723973466e-07
486	4.723973466e-07
487	4.723973466e-07
488	4.682928775e-07
489	4.682928775e-07
490	4.669507893e-07
491	4.669507893e-07
492	4.655935587e-07
493	4.655935587e-07
494	4.623271409e-07
495	4.623271409e-07
496	4.583978422e-07
497	4.583978422e-07
498	4.583978422e-07
499	4.571137277e-07
